id,eeprom,speed_mode,fan_qtd,speed_control,project_type,bios_id
246,ThinkPad P1 Gen 6,Hexadecimal,Dual Fan,1,2,N3Z
247,ThinkPad T16 Gen 2,Hexadecimal,Single Fan,1,2,N3Q
248,ThinkPad T16 Gen 2,Hexadecimal,Single Fan,1,2,R2F
249,ThinkPad X13 Gen 4,Hexadecimal,Dual Fan,1,2,N3O
250,ThinkPad X13 Gen 4,Hexadecimal,Dual Fan,1,2,R29
251,ThinkPad X13 Yoga Gen 4,Hexadecimal,Dual Fan,1,2,N3O
252,ThinkPad X13 Yoga Gen 4,Hexadecimal,Single Fan,1,2,N3O
253,ThinkPad X1 Carbon Gen 11,Hexadecimal,Dual Fan,1,2,N3X
254,ThinkPad X1 Nano Gen 3,Hexadecimal,Single Fan,1,2,N3N
255,ThinkPad X1 Yoga Gen 8,Hexadecimal,Dual Fan,1,2,N3X
256,ThinkPad Z13 Gen 1,Hexadecimal,Dual Fan,1,2,N3G
257,ThinkPad Z16 Gen 1,Hexadecimal,Dual Fan,1,2,N3G
258,ThinkPad Z16 Gen 2,Hexadecimal,Dual Fan,1,2,N41
259,ThinkPad X1 Carbon Gen 12,Hexadecimal,Dual Fan,1,1,N3Y
260,ThinkPad X1 2-in-1 Gen 9,Hexadecimal,Dual Fan,1,1,N3Y
262,ThinkPad T14s Gen 4,Hexadecimal,Single Fan,1,2,N3P
263,ThinkPad T14s Gen 4,Hexadecimal,Single Fan,1,2,R2E
264,ThinkPad P16 Gen 2,Hexadecimal,Dual Fan,1,2,N3T
265,ThinkPad P16s Gen 2,Hexadecimal,Single Fan,1,2,N3Q
266,ThinkPad P16s Gen 2,Hexadecimal,Single Fan,1,2,R2F
267,ThinkPad P16v Gen 1,Hexadecimal,Dual Fan,1,2,N3U
268,ThinkPad P16v Gen 1,Hexadecimal,Dual Fan,1,2,N3V
269,ThinkPad X13 Gen 4 LTE2,Hexadecimal,Dual Fan,1,2,R29
270,ThinkPad Z13 Gen 2,Hexadecimal,Dual Fan,1,2,N41
271,ThinkPad R14 Gen 5,Hexadecimal,Single Fan,1,2,R2A
272,ThinkPad T14 Gen 4,Hexadecimal,Single Fan,1,2,N3Q
273,ThinkPad T14 Gen 4,Hexadecimal,Single Fan,1,2,R2F
274,ThinkPad T15 Gen 2i,Hexadecimal,Single Fan,1,2,N3W
275,ThinkPad E16 Gen 1,Hexadecimal,Single Fan,1,2,R2A
276,ThinkPad E16 Gen 1,Hexadecimal,Single Fan,1,2,R2C
277,ThinkPad L13 Gen 4,Hexadecimal,Single Fan,1,2,R27
278,ThinkPad L13 Gen 4,Hexadecimal,Single Fan,1,2,R26
279,ThinkPad L13 Yoga Gen 4,Hexadecimal,Single Fan,1,2,R27
280,ThinkPad L13 Yoga Gen 4,Hexadecimal,Single Fan,1,2,R26
281,ThinkPad S2 Gen 8,Hexadecimal,Single Fan,1,2,R27
282,ThinkPad S2 Gen 8,Hexadecimal,Single Fan,1,2,R26
283,ThinkPad S2 Yoga Gen 8,Hexadecimal,Single Fan,1,2,R27
284,ThinkPad S2 Yoga Gen 8,Hexadecimal,Single Fan,1,2,R26
285,ThinkPad L15 Gen 4,Hexadecimal,Single Fan,1,2,R24
286,ThinkPad L14 Gen 3,Hexadecimal,Single Fan,1,2,R1X
287,ThinkPad L14 Gen 3,Hexadecimal,Single Fan,1,2,R1Y
289,ThinkPad E14 Gen 6,Hexadecimal,Single Fan,1,32,R2K
290,ThinkPad E16 Gen 2,Hexadecimal,Single Fan,1,32,R2J
291,ThinkPad E16 Gen 2,Hexadecimal,Single Fan,1,32,R2K
292,ThinkPad L13 2-in-1 Gen 5,Hexadecimal,Single Fan,1,32,R2G
293,ThinkPad L13 Gen 5,Hexadecimal,Single Fan,1,32,R2G
294,ThinkPad L14 Gen 5,Hexadecimal,Single Fan,1,32,R2I
295,ThinkPad L14 Gen 5,Hexadecimal,Single Fan,1,32,R2H
296,ThinkPad L16 Gen 1,Hexadecimal,Single Fan,1,32,R2I
297,ThinkPad L16 Gen 1,Hexadecimal,Single Fan,1,32,R2H
298,ThinkPad P1 Gen 7,Hexadecimal,Dual Fan,1,2,N48
299,ThinkPad P14s Gen 1,Hexadecimal,Single Fan,1,32,R1B
300,ThinkPad P14s Gen 5,Hexadecimal,Single Fan,1,2,R2L
301,ThinkPad P16s Gen 3,Hexadecimal,Dual Fan,1,2,R2D
302,ThinkPad P16v Gen 2,Hexadecimal,Dual Fan,1,2,N44
303,ThinkPad S2 Gen 9,Hexadecimal,Single Fan,1,32,R2G
304,ThinkPad T14 Gen 5,Hexadecimal,Single Fan,1,2,N47
305,ThinkPad T14 Gen 5,Hexadecimal,Single Fan,1,2,R2L
306,ThinkPad T14s Gen 5,Hexadecimal,Single Fan,1,2,N46
307,ThinkPad T16 Gen 3,Hexadecimal,Single Fan,1,2,N47
308,ThinkPad X12 Detachable Gen 2,Hexadecimal,Single Fan,1,32,N43
309,ThinkPad X13 2-in-1 Gen 5,Hexadecimal,Dual Fan,1,2,N45
310,ThinkPad X13 2-in-1 Gen 5,Hexadecimal,Single Fan,1,2,N45
311,ThinkPad X13 Gen 5,Hexadecimal,Dual Fan,1,2,N45
312,ThinkPad X13 Gen 5,Hexadecimal,Single Fan,1,2,N45
313,ThinkPad T14s Gen 6,Hexadecimal,Single Fan,1,32,R2N
314,ThinkPad P14s Gen 5 AMD,Hexadecimal,Single Fan,1,2,R2L
315,ThinkPad X1 Carbon Gen 13,Hexadecimal,Dual Fan,1,1,N4B
316,ThinkPad X1 2-in-1 Gen 10,Hexadecimal,Dual Fan,1,1,N4B
317,ThinkPad E14 Gen 7,Hexadecimal,Single Fan,1,32,R30
318,ThinkPad R14 Gen 7,Hexadecimal,Single Fan,1,32,R30
319,ThinkPad E16 Gen 3,Hexadecimal,Single Fan,1,32,R30
320,ThinkPad E14 Gen 7,Hexadecimal,Single Fan,1,32,R31
321,ThinkPad R14 Gen 7,Hexadecimal,Single Fan,1,32,R31
322,ThinkPad E16 Gen 3,Hexadecimal,Single Fan,1,32,R31
323,ThinkPad X9-14 Gen 1,Hexadecimal,Double Fan,1,32,N4D
324,ThinkPad T14s Gen 6,Hexadecimal,Single Fan,1,2,N4I
325,T14 Gen 6,Hexadecimal,Single Fan,1,2,N4H
326,ThinkPad L13 Gen 6,Hexadecimal,Single Fan,1,32,R2R
327,ThinkPad L13 2-in-1 Gen 6,Hexadecimal,Single Fan,1,32,R2R
328,ThinkPad L14 Gen 6,Hexadecimal,Single Fan,1,32,R2S
329,ThinkPad L16 Gen 2,Hexadecimal,Single Fan,1,32,R2S
330,ThinkPad L14 Gen 6,Hexadecimal,Single Fan,1,32,R2U
331,ThinkPad L16 Gen 2,Hexadecimal,Single Fan,1,32,R2U
332,ThinkPad L14 Gen 6,Hexadecimal,Single Fan,1,32,R2V
333,ThinkPad L16 Gen 2,Hexadecimal,Single Fan,1,32,R2V
334,ThinkPad L13 Gen 6,Hexadecimal,Single Fan,1,32,R2T
335,ThinkPad L13 2-in-1 Gen 6,Hexadecimal,Single Fan,1,32,R2T
336,ThinkPad X9-15 Gen 1,Hexadecimal,Dual Fan,1,1,N4C
337,ThinkPad T14 Gen 6,Hexadecimal,Single Fan,1,32,R2X
